"","PERSON_ID","DISPLAY_LAST_COMMA_FIRST","DISPLAY_FIRST_LAST","ROSTERSTATUS","FROM_YEAR","TO_YEAR","PLAYERCODE","PLAYER_SLUG","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CODE","TEAM_SLUG","GAMES_PLAYED_FLAG","OTHERLEAGUE_EXPERIENCE_CH"
"3193","271","Newman, Johnny","Johnny Newman","0","1986","2001","johnny_newman","johnny_newman","0","","","","",NA,"Y","00"
"3194","1629005","Newman, Malik","Malik Newman","0","2019","2021","malik_newman","malik_newman","0","","","","",NA,"Y","01"
"3195","77712","Newmark, Dave","Dave Newmark","0","1968","1969","HISTADD_dave_newmark","dave_newmark","0","","","","",NA,"Y","00"
"3196","1627777","Niang, Georges","Georges Niang","1","2016","2023","georges_niang","georges_niang","1610612755","Philadelphia","76ers","PHI","sixers","sixers","Y","01"
"3197","201193","Nichols, Demetris","Demetris Nichols","0","2007","2008","demetris_nichols","demetris_nichols","0","","","","",NA,"Y","01"
"3198","77713","Nichols, Jack","Jack Nichols","0","1948","1957","HISTADD_jack_nichols","jack_nichols","0","","","","",NA,"Y","00"
"3199","203094","Nicholson, Andrew","Andrew Nicholson","0","2012","2016","andrew_nicholson","andrew_nicholson","0","","","","",NA,"Y","00"
"3200","1093","Nickerson, Gaylon","Gaylon Nickerson","0","1996","1996","gaylon_nickerson","gaylon_nickerson","0","","","","",NA,"Y","00"
"3201","77715","Nicks, Carl","Carl Nicks","0","1980","1982","HISTADD_carl_nicks","carl_nicks","0","","","","",NA,"Y","00"
"3202","77716","Niemann, Rich","Rich Niemann","0","1968","1969","HISTADD_rich_niemann","rich_niemann","0","","","","",NA,"Y","00"
"3203","77717","Niemiera, John","John Niemiera","0","1948","1949","HISTADD_richie_niemiera","john_niemiera","0","","","","",NA,"Y","00"
"3204","77718","Niles, Mike","Mike Niles","0","1980","1980","HISTADD_mike_niles","mike_niles","0","","","","",NA,"Y","00"
"3205","77719","Nimphius, Kurt","Kurt Nimphius","0","1981","1989","HISTADD_kurt_nimphius","kurt_nimphius","0","","","","",NA,"Y","00"
"3206","1630227","Nix, Daishen","Daishen Nix","1","2021","2022","daishen_nix","daishen_nix","1610612745","Houston","Rockets","HOU","rockets","rockets","Y","01"
"3207","77720","Nix, Dyron","Dyron Nix","0","1989","1989","HISTADD_dyron_nix","dyron_nix","0","","","","",NA,"Y","00"
"3208","77721","Nixon, Norm","Norm Nixon","0","1977","1988","HISTADD_norm_nixon","norm_nixon","0","","","","",NA,"Y","00"
"3209","1641762","Nnaji, James","James Nnaji","0","2023","2023","james_nnaji","james_nnaji","0","","","","",NA,"N","00"
"3210","1630192","Nnaji, Zeke","Zeke Nnaji","1","2020","2023","zeke_nnaji","zeke_nnaji","1610612743","Denver","Nuggets","DEN","nuggets","nuggets","Y","00"
"3211","201149","Noah, Joakim","Joakim Noah","0","2007","2019","joakim_noah","joakim_noah","0","","","","",NA,"Y","01"
"3212","77722","Noble, Chuck","Chuck Noble","0","1955","1961","HISTADD_chuck_noble","chuck_noble","0","","","","",NA,"Y","00"
"3213","2804","Nocioni, Andres","Andres Nocioni","0","2004","2011","andres_nocioni","andres_nocioni","0","","","","",NA,"Y","00"
"3214","200786","Noel, David","David Noel","0","2006","2006","david_noel","david_noel","0","","","","",NA,"Y","01"
"3215","203457","Noel, Nerlens","Nerlens Noel","0","2013","2023","nerlens_noel","nerlens_noel","0","","","","",NA,"Y","00"
"3216","1630750","Noel, Obadiah","Obadiah Noel","0","2023","2023","obadiah_noel","obadiah_noel","0","","","","",NA,"N","11"
"3217","77723","Noel, Paul","Paul Noel","0","1947","1951","HISTADD_paul_noel","paul_noel","0","","","","",NA,"Y","00"
"3218","203512","Nogueira, Lucas","Lucas Nogueira","0","2014","2017","lucas_nogueira","lucas_nogueira","0","","","","",NA,"Y","01"
"3219","77724","Nolan, Jim","Jim Nolan","0","1949","1949","HISTADD_jim_nolan","jim_nolan","0","","","","",NA,"Y","00"
"3220","77725","Nolen, Paul","Paul Nolen","0","1953","1953","HISTADD_paul_nolen","paul_nolen","0","","","","",NA,"Y","00"
"3221","999","Nordgaard, Jeff","Jeff Nordgaard","0","1997","1997","jeff_nordgaard","jeff_nordgaard","0","","","","",NA,"Y","00"
"3222","77727","Nordmann, Robert","Robert Nordmann","0","1961","1964","HISTADD_bevo_nordmann","robert_nordmann","0","","","","",NA,"Y","00"
"3223","77728","Norlander, Johnny","Johnny Norlander","0","1946","1950","HISTADD_johnny_norlander","johnny_norlander","0","","","","",NA,"Y","00"
"3224","77729","Norman, Connie","Connie Norman","0","1974","1978","HISTADD_connie_norman","connie_norman","0","","","","",NA,"Y","00"
"3225","80","Norman, Ken","Ken Norman","0","1987","1996","ken_norman","ken_norman","0","","","","",NA,"Y","00"
"3226","77731","Norris, Audie","Audie Norris","0","1982","1984","HISTADD_audie_norris","audie_norris","0","","","","",NA,"Y","00"
"3227","1641936","Norris, Miles","Miles Norris","0","2023","2023","miles_norris","miles_norris","0","","","","",NA,"N","00"
"3228","983","Norris, Moochie","Moochie Norris","0","1996","2005","moochie_norris","moochie_norris","0","","","","",NA,"Y","00"
"3229","77732","Norris, Sylvester","Sylvester Norris","0","1979","1979","HISTADD_sylvester_norris","sylvester_norris","0","","","","",NA,"Y","00"
"3230","1629668","Norvell Jr., Zach","Zach Norvell Jr.","0","2019","2019","zach_norvell_jr","zach_norvell_jr","0","","","","",NA,"Y","01"
"3231","77733","Norwood, Willie","Willie Norwood","0","1971","1977","HISTADD_willie_norwood","willie_norwood","0","","","","",NA,"Y","00"
"3232","77734","Nostrand, George","George Nostrand","0","1946","1949","HISTADD_george_nostrand","george_nostrand","0","","","","",NA,"Y","00"
"3233","77735","Noszka, Stan","Stan Noszka","0","1946","1948","HISTADD_stan_noszka","stan_noszka","0","","","","",NA,"Y","00"
"3234","77736","Novak, Mike","Mike Novak","0","1948","1953","HISTADD_mike_novak","mike_novak","0","","","","",NA,"Y","00"
"3235","200779","Novak, Steve","Steve Novak","0","2006","2016","steve_novak","steve_novak","0","","","","",NA,"Y","01"
"3236","1629669","Nowell, Jaylen","Jaylen Nowell","1","2019","2023","jaylen_nowell","jaylen_nowell","1610612750","Minnesota","Timberwolves","MIN","timberwolves","timberwolves","Y","01"
"3237","1641806","Nowell, Markquis","Markquis Nowell","0","2023","2023","markquis_nowell","markquis_nowell","0","","","","",NA,"N","00"
"3238","77737","Nowell, Mel","Mel Nowell","0","1962","1962","HISTADD_mel_nowell","mel_nowell","0","","","","",NA,"Y","00"
"3239","1717","Nowitzki, Dirk","Dirk Nowitzki","0","1998","2018","dirk_nowitzki","dirk_nowitzki","0","","","","",NA,"Y","00"
"3240","1628373","Ntilikina, Frank","Frank Ntilikina","1","2017","2023","frank_ntilikina","frank_ntilikina","1610612742","Dallas","Mavericks","DAL","mavericks","mavericks","Y","00"
"3241","1629134","Nunn, Kendrick","Kendrick Nunn","1","2018","2023","kendrick_nunn","kendrick_nunn","1610612764","Washington","Wizards","WAS","wizards","wizards","Y","01"
"3242","203263","Nunnally, James","James Nunnally","0","2013","2020","james_nunnally","james_nunnally","0","","","","",NA,"Y","01"
"3243","203994","Nurkic, Jusuf","Jusuf Nurkic","1","2014","2023","jusuf_nurkic","jusuf_nurkic","1610612757","Portland","Trail Blazers","POR","blazers","blazers","Y","00"
"3244","77738","Nutt, Dennis","Dennis Nutt","0","1986","1986","HISTADD_dennis_nutt","dennis_nutt","0","","","","",NA,"Y","00"
"3245","1628021","Nwaba, David","David Nwaba","0","2016","2021","david_nwaba","david_nwaba","0","","","","",NA,"Y","11"
"3246","1629670","Nwora, Jordan","Jordan Nwora","1","2020","2023","jordan_nwora","jordan_nwora","1610612754","Indiana","Pacers","IND","pacers","pacers","Y","01"
"3247","1022","Nwosu, Julius","Julius Nwosu","0","1994","1994","julius_nwosu","julius_nwosu","0","","","","",NA,"Y","00"
"3248","1525","O'Bannon, Charles","Charles O'Bannon","0","1997","1998","charles_o'bannon","charles_obannon","0","","","","",NA,"Y","00"
"3249","709","O'Bannon, Ed","Ed O'Bannon","0","1995","1996","ed_o'bannon","ed_obannon","0","","","","",NA,"Y","00"
"3250","77742","O'Boyle, John","John O'Boyle","0","1952","1952","HISTADD_john_o'boyle","john_oboyle","0","","","","",NA,"Y","00"
"3251","77744","O'Brien, Bob","Bob O'Brien","0","1947","1948","HISTADD_bob_o'brien","bob_obrien","0","","","","",NA,"Y","00"
"3252","77743","O'Brien, Buckshot","Buckshot O'Brien","0","1951","1952","HISTADD_buckshot_o'brien","buckshot_obrien","0","","","","",NA,"Y","00"
"3253","1626266","O'Brien, JJ","JJ O'Brien","0","2015","2015","jj_o'brien","jj_obrien","0","","","","",NA,"Y","01"
"3254","200753","O'Bryant, Patrick","Patrick O'Bryant","0","2006","2009","patrick_o'bryant","patrick_obryant","0","","","","",NA,"Y","01"
"3255","203948","O'Bryant III, Johnny","Johnny O'Bryant III","0","2014","2017","johnny_o'bryant_iii","johnny_obryant_iii","0","","","","",NA,"Y","01"
"3256","77745","O'Connell, Dermie","Dermie O'Connell","0","1948","1949","HISTADD_dermie_o'connell","dermie_oconnell","0","","","","",NA,"Y","00"
"3257","77746","O'Donnell, Andy","Andy O'Donnell","0","1949","1949","HISTADD_andy_o'donnell","andy_odonnell","0","","","","",NA,"Y","00"
"3258","77750","O'Grady, Francis","Francis O'Grady","0","1946","1948","HISTADD_buddy_o'grady","francis_ogrady","0","","","","",NA,"Y","00"
"3259","77752","O'Keefe, Dick","Dick O'Keefe","0","1947","1950","HISTADD_dick_o'keefe","dick_okeefe","0","","","","",NA,"Y","00"
"3260","77753","O'Keefe, Tommy","Tommy O'Keefe","0","1950","1950","HISTADD_tommy_o'keefe","tommy_okeefe","0","","","","",NA,"Y","00"
"3261","77754","O'Koren, Mike","Mike O'Koren","0","1980","1987","HISTADD_mike_okoren","mike_okoren","0","","","","",NA,"Y","00"
"3262","77766","O'Malley, Grady","Grady O'Malley","0","1969","1969","HISTADD_grady_o'malley","grady_omalley","0","","","","",NA,"Y","00"
"3263","979","O'Neal, Jermaine","Jermaine O'Neal","0","1996","2013","jermaine_o'neal","jermaine_oneal","0","","","","",NA,"Y","00"
"3264","406","O'Neal, Shaquille","Shaquille O'Neal","0","1992","2010","shaquille_o'neal","shaquille_oneal","0","","","","",NA,"Y","00"
"3265","1626220","O'Neale, Royce","Royce O'Neale","1","2017","2023","royce_o'neale","royce_oneale","1610612751","Brooklyn","Nets","BKN","nets","nets","Y","01"
